,0
0,"Company DescriptionOur Client is a is a leading secure investments management firm in Nigeria, with over 12,500 institutional and retail clients, spread across several industries. corporate organization in the financial services sector of the Nigerian economy. The Company is a multi-asset manager, duly licensed by the Securities and Exchange Commission (“SEC”) to provide portfolio and fund management servicesJob DescriptionCandidate must have at least 3 years experience in role and must be currently working in a financial institution or consulting firm. Candidate must have experience in mobile APP building and customisation, automation and I.T Infrastructure. Candidate must be in active employment on the date of recruitment and must have stayed in current role for at least a year.Key Responsibilities:1. Communicate with stakeholders to understand their requirements2. Develop and analyze functional specifications3. Design efficient IT systems to meet business and technology needs4. Coordinate developers to build and implement technology solutions5. Integrate multiple systems and reconcile needs of different teams6. Gather feedback from end users about system performance7. Plan and oversee projects ( e.g. Upgrades, hardware/software installation)8. Provide advice and technical training9. Keep abreast of technology trends and developments10. To work in collaboration with management to understand IT objectives11. Review completed and assigned tasks to ascertain compliance with standards.12. Ensure that the company’s data and information are protected from unauthorized access.13. Carry out in-depth research to reveal new and better methods of handling functions within the Company14. Any other task thatKey Skills and Abilities:People ManagementLeadership skillsMulti-taskStrategic PerspectiveBusiness AcumenData ManagementProblem- solving attitudeStress and pressures managementWritten Communication SkillsGood understanding and certifications in Cloud computing (Azure)QualificationsB.SC in any numerate discipline and relevant professional certification"
1,"A business intelligence analyst’s analyzes data with the purpose of identifying areas where an organization can improve.Minimum Qualification: DegreeExperience Level: Mid levelExperience Length: 3 yearsJob Description/RequirementsResponsibilities-Creating models, reports and dashboards on PowerBI, SSRS, SQL, Excel.Designing services and scripts on SSIS, SSAS, and SSMS.Querying data, and presenting results in easy-to-understand formats.Documenting deployment instructions in line with operating procedures.Creating ETL processes and database schemas that represent and support business processes.Performing ad-hoc analysis that generate valuable insights to drive strategy, product or other key decisions for the company and our clients.Collaborating with business analysts to understand client environments, organizational reporting requirements and propose configuration solutions that meet these.Desired Skills and ExperienceBachelor's Degree from a recognized university.3 years’ work experience (However, are considerations for very intelligent candidates with the potential to deliver value within a short time maximum 6 months).Experience working with databases (MSSQL SERVER).Knowledge of T-SQL, the ability to write complex inquiries and their optimization.Good Knowledge of MS SQL Reporting Services, PowerBI and MS Excel.Experience of developing technical documentation.Attention to details, the ability to provide the ideas both to technical and non-technical addressees, analytical thought, skill of working in team.Knowledge of R or Python programming would be an asset.Understanding of Mongo or any No-SQL database is an advantage.Good knowledge of operational Data Store / Data Warehouse.Strong SQL skills.Experience using Phyton or R for data preparation and analysis.Experience using ETL tools to integrate, disconnect data sets.Knowledge of Data visualization tools, preferably Microsoft Power BI.Experience using Cloud solution for Data analytics, preferably Data tools on Microsoft. Azure (example Azure Synapse analytics, Azure Data Factory, Azure Databricks, Azure Data Lake).Experience implementing a Data Warehouse Solution either on-premise or in the cloud (is a plus).Background in a highly quantitative field and knowledge of Statistics and Data modelling (is a plus).Important Safety Tips1. Do not make any payment without confirming with the Jobberman Customer Support Team."
2,"Verifiable experience in reporting dataData warehousingData visualization,Advance use of Tableau or similar toolsContract length: 6 monthsApplication Deadline: 31/12/2020Job Types: Full-time, ContractExperience:Business Analyst Analyst: 3 years (Required)Education:Higher National Diploma (Required)Work Remotely:Yes"
3,"Job Description Support In Execution Of The Data & Devices Strategy And Promotions That Profitably Satisfy Various Customer Segments Needs And Aspirations And Overall Vision Of MTN To Become The Leading ICT Solution Provider. Provide Impute In The Development Of Marketing Plan That Plays A Role In Effective Data And Device Propositions, Launch And Quality Adoption Within The Segment. (I.E. Grow Market Share, Grow ICT & Data Revenue, Increase EBITDA Margins, Assure Revenue, CAPEX Returns Management And Net Subscriber Additions). Monitor Project And Ensure They Are Delivered To Budget And On Time. Network And Build Solid Relationships With Internal Units And Relevant Third Parties (E.G. Strategic Investors, Technical And Finance Partners, Business Consultants Etc.) And Develop A Close Working Relationship With Relevant Information Sources To Provide An Integrated Service Develop Work Implementation Plan, Ensuring It Is In Alignment With The Business Strategy Of The Segment. Develop And Execute Strategy To Drive Smartphone And Data Penetration Within Existing Customer Base And Acquire New Data Customers Design, Develop, Document, Implement And Measure A Clear, Well Defined Data Propositions Strategy (Building On Services Roadmap Per Brand Segment). Work With Segment Managers, Business Intelligence And Customer Value Management (CVM) Teams To Analyse Customer Needs And Aspirations And Draw Relevant Insights For The Development Of Compelling Data And Device Propositions Across Segments Ensure Successful Launch Of Data/ Device Propositions, With An Oversight Of Go-To-Market Activities Position MTNs Data And Device Propositions As Best-In-Class And Best In-Market; Bring MTN Data/Device Propositions To The Forefront Of Available Distribution Channels To Increase Overall Sales Volumes Drive Uptake Of Data In Each Of The Outlined Segments And Design Strategies To Ensure High ARPU Contribution From Data Across Segments Provide Input Into Business Cases For Proposed Data/Device Propositions Create Data/Device Proposition Requirements Documents To Facilitate Implementation, Including Market Requirement Documents, Descriptions, Cases, Storyboards And Data Flow Diagrams Maintain A Strong Understanding Of The Marketplace And Current And Evolving Opportunities For Mobile Operators And Other Industries With Regard To Data/ Devices. Work With Brand Managers, Product Managers, CVM, Business Intelligence, Research, Sales, Technical Teams And Customer Relations To Ensure Service Levels, Product Experience And User Experience Match Agreed Specifications. Track Revenue Growth For Data Products. Evaluate Viability Of Identified Partnering Opportunities For Complementary Third-Party Products To Broaden Companys Data Product Portfolio. For The More Technical Data Products, Collaborate Closely With Technical Design And Implementation Teams To Communicate Promotional Frameworks, Understand The Impact That These Requirements Have On The Architecture And Design Of The Product, And Adjust Requirements As Appropriate To Optimize Return On Investment. Oversee The Design, Development And Implementation Of Business/Operational Tools And Processes Related To Data Propositions. Serve MTNNs Customers And Provide Solutions To Improve The Customer Experience. Support The Manager In Driving An Increase In MTNN Net Promoter Score Manage Relationship With All The Internal/ External Stakeholders And Ensure Customer Centric Culture Across The Organization Internal And External Customers To Transform The MTNNs Revenue. Actively Collaborate With Branding And Communications Team To Execute Communication Strategy For Data/Device Propositions In Terms Of Adverts, Promotions And Events Provide All The Stakeholders With Relevant Information For Proper And Timely Evaluation Of Projects And Plan. Continuously Seek Self-Professional Development To Sharpen Skills And Capability In A Versatile And Evolving Digital Landscape. Foster Active Collaboration And Relationships With Employees Across All Levels And Divisions In Line With MTN VB And Values. Job Condition Normal MTNN Working Conditions May Be Required To Work Extended Hours Experience & Training Education: Fluent In English Language First Degree In A Relevant Discipline Such As Marketing, Economics, Engineering Or A Related Field Demonstrable Experience In Delivering A Wide Range Of Propositions. Industry Certification(S) And/Or Post-Graduate/Professional Qualification(S) In A Related Field (An Added Advantage) Experience: 3 7 Years Of Experience In Telecoms Product/Proposition Development, Testing And Launch Minimum Of 2 Years Experience In Telecoms Product/ Proposition Development, Testing And Launch At Least 2 Years Experience In Mobile Device And Or Proposition Support At Least 2 Years Experience In Project Management At Least A Years Experience In Telecoms Marketing Strategy Development And Execution A Good Understanding Of IS Systems, Mobile Telecommunication Networks And Mobile Applications A Good Understanding Of Mobile Devices Ecosystem Training: Brand Management Project Management Media And Events Planning Minimum Qualification: BA, BEd, BSc Or HND"
4,"We are currently recruiting for this positionMinimum Qualification: DegreeExperience Level: Entry levelExperience Length: 2 yearsJob Description/RequirementsBuild and support relationships with key customers, business partners, industry associations, government and suppliersAchieve and exceed targeted sales plans on a daily, weekly, monthly and annual basisEnsure brilliant execution by building rapport and supporting company standardsPlan sales & marketing strategy, develop business case proposals and executionParticipate in daily sales meetings with your teamHost private viewings of properties with customers, follow up and generate new customersAnalyze valuable data by tracking volume, distribution performance and the competitive landscape to develop strategies that will help us meet any challengeGraphic design for online and print materialSocial media posting and account maintenance on a wide variety of platformsEmail marketing/drip campaignsAbility to research information about events, write copy, and promote, blog and post about themVideographer and video editor, with own equipment and programsAbility to photograph both properties and events, with own equipment and programsCreate monthly graphic and newsletter based on reports providedAttend occasional night & weekend real estate events to spread brand awarenessBasic IT skillsWho we’re looking for:You thrive on challenge. You act with appropriate urgency to various market events and trends that require a quick turnaround in plans and strategy.You are confident, diplomatic, professional and exercise great judgment in developing and maintaining excellent business relationshipsYou are deadly serious about execution and take pride in a proven track record in delivering resultsYou are a strong team player that can inspire others; you respect your commitments, hold yourself and others around you accountableYou are a skilled negotiator focused on the customer; your constant curiosity fosters your innovative style and you can equally execute ideas given to youImportant Safety Tips1. Do not make any payment without confirming with the Jobberman Customer Support Team."
5,"We're looking for a GIS Analyst for a research projectTechnoServe works with enterprising people in the developing world to build competitive farms, businesses, and industries. We are a non-profit organization that develops business solutions to poverty by linking people to information, capital, and markets. Our work is rooted in the idea that given the opportunity, hardworking men and women in even the poorest places can generate income, jobs, and wealth for their families and communities. With more than four decades of proven results, we believe in the power of private enterprise to transform lives.About the Project: The project is to support the building of a knowledge base of community-based actors in the agriculture value chain and strategically defining and implementing an expansion plan that increases the volume of goods traded on the Cellulant Agrikore platform as well as creates work opportunities for at least 50,000 youth. Project actors are farmers, aggregators, transporters, and youth engaged in the agriculture sector across 6 states and 50 LGAs in Nigeria. The database of market actors will include at least 30,000 farmers, 2,500 agribusinesses, and 20,000 youth.Primary Purpose: The successful candidate will work under the guidance and supervision of TechnoServe’s MIS coordinator to provide overall data collection support to the project especially aggregation and showcasing of relevant data points and the production of the high-quality state and LGA-level maps that indicate areas of high production, existing aggregators, transport firms and micro-millers/processors in line with the guidelines and deliverables of TechnoServe and its partners. During the period of engagement, the consultant will interface with the TNS Abuja office.Due to COVID-19 the successful candidate will work mostly remotely but may be expected to make short trips to the field periodically. The tasks below are the key deliverables but they are not exhaustive.Duties & Responsibilities:Preparing technical specifications of the appropriate hardware and software required to create the required GIS database and data visualizations to meet Technoserve’s requirements and deliverablesCoordinating with the project team to recommend a GIS system including the themes and layers to be usedSupporting GIS spatial data cleaning, quality assurance, and analysesDeveloping cartographic products, high-quality maps (digital and web), usable on online platforms and hard copy communication materials, code for maps, run GIS automation and programmingEnsure that collected data is geo-referenced, enabling the production of maps and related productsPlanning, operating, developing and implementing all spatial analysis and mapping related initiatives that the project undertakesTaking the initiative to identify and procure satellite images; imagery download, processing, and remote sensing and/or geospatial data analysis of implementation states showcasing detailed information such as state and LGAs with targeted actorsProducing analytical reports, geospatial data and web services, delivered according to schedule and deadlinesProviding support for GIS data conversion, systems integration, and application development and implementationPerforming other duties relating to the project as assigned Key Performance IndicatorsGIS Mapping guidelines complied with relevantMap validation process respected and Map templates consistently usedGIS products support the research as designed and align to the analysis plan envisionedRegular (weekly) communication maintained with TechnoServe on the progress of GIS productsMaps produced and data analyzed in a timely and accurate mannerTotal number of maps embedded in a readable report receiving final validation Minimum RequirementsMaster’s degree in GIS or a related discipline (Geography, Geomatics, Environmental Engineering, Environmental Sciences)4 years of experience in GIS / Database managementExperience in Esri software, QGIS, alternate open source GIS, image processing software packages and analyzing complex data with R or PythonPrevious experience with mobile data collection for mapping purposesKnowledge on Adobe Suite, particularly Illustrator and InDesign and remote sensing analysisExperience in map production, complex spatial data collection, and managementExperience in GIS consulting, program development, and implementation with international field experience requiredExperience in web cartography across multiple web mapping platforms, and experience with other non-spatial database systems;Excellent coordination, communication and analytical skills and fluency in the English languageAbility to operate Microsoft Word and Excel and showcase previous work in the regionExperience of working remotely and guiding a team virtuallyWe welcome hearing from qualified and interested applicants. Due to a high volume of applicants, please understand that we are able to contact only those who meet the minimum qualifications. No phone calls, please.TechnoServe encourages diversity at all levels and across all facets of our organization. We are proud to be an equal opportunity employer and do not discriminate on the basis of gender, race, color, ethnicity, religion, sexual orientation, gender identity, ages, HIV/AIDS status, protected veteran status, disability, and all other protected classes.TechnoServe is committed to providing reasonable accommodations to qualified individuals with disabilities in all facets of employment, including the employment application and selection process. If you have a disability that affects your ability to use our online system to apply for a position at TechnoServe please contact Human Resources Department at nigeriajobs@tns.org"
6,"Portfolio AnalystThe RoleAnalyze portfolio trends to identify at a granular level, and be able to communicate areas of risk and opportunityTake ownership of daily, weekly and monthly credit risk reporting vital to the monitoring of the loan portfolio in a timely, accurate mannerUse analytical techniques to provide insight into key portfolios and segment trendsPresent findings to risk managers to assist with improving the credit risk strategy to ensure the business operates within its agreed Risk Appetite and our customers are treated fairlyWork with data science team to present emerging trends and recommend areas for investigationPerforming reconciliation and validation routinesSkills and ExperienceMust have:Strong academic background in a highly numerate, scientific or computer science discipline (i.e. Economics, Mathematics, Finance, Physics, or related subjects) which must have quantitative units studied at undergraduate levelExcellent working knowledge of all Microsoft Office Products, (Excel, Outlook, Powerpoint) especially PowerBIAdvanced hands on SQL/My SQL skills to extract data from databasesGood communication skills with the ability to express technical ideas to a non-technical audienceAnalytical mindset with ambitions for a successful career within Credit RiskInformation sponge – ability to remember fine detail and high desire to learnSelf starter with initiative – the ability to solve problems that arise, often encountering new situations you will need to have the mindset and determination to question the data until you have the answersDesirable:Minimum 3 years experience in a credit monitoring role or similar analytical roleDetailed knowledge and understanding of retail banking productsProducing reports for use by senior management and the board of the companyPrevious experience in credit risk or an analytical role within commercial banking or financial servicesPrevious experience of making recommendations on business strategy to your superiors"
7,"Project Estimator with data analysis working experience in programming language such as Python, R, and SQL. Candidate must be able to design, develop, and troubleshoot various software applications similar to a software developer or data analyst experience.Minimum Qualification: MBA / MScExperience Level: Entry levelExperience Length: 1 yearJob Description/RequirementsThe Project Estimator is responsible for planning and coordinating all aspects of the construction bidding process. This includes reviewing client drawings and specifications, preparing material takeoff, pricing data and documentation necessary to complete bidding proposal. The Project Estimator will utilize previous subcontractor pricing and material cost to prepare job budgets, also have working knowledge of dispute resolution, estimating/pricing, material procurement processes, and scheduling. The estimator will maintain a database of pricing to ensure timely preparation of project cost, projections and purchase order. The ideal candidate should have good communication skills and ability to discuss construction issues.To stay competitive, looking for technology savvy candidates. Looking for a candidate versatile in Python, R, Microsoft Excel and SQL. Someone that could build pricing database for the estimating operation. Must be able to troubleshoot or debug coding error in python. Someone knowledgeable about scrapping data online, have experience in different coding languages and understand other general computer/network functionalities. Someone with statistical background is a plus for analyzing construction pricing data.Responsibilities:The estimator plays a key role as the individual in the position between the corporate office and field operations.The ability to provide timely estimates, purchase order packages while maintaining company standards.Obtains bids from vendors and subcontractors by specifying materials; identifying qualified subcontractors; negotiating price.Prepares construction budget by studying home plans; updating specifications; identifying and projecting costs for each elevation.Evaluates offers to purchase by costing changes, additions, and site requirements.Maintains cost database, and must have working knowledge of python and SQL to automate processesPrepare material takeoffs for all phasing of construction activities.The ability to evaluate and adjust material takeoffs based on field input.Resolves cost discrepancies by collecting and analyzing information.Prepares special reports by collecting, analyzing, and summarizing information and trends.Maintains quality service by following organization standards.Maintains continuity among corporate, division, and local work teams by documenting and communicating actions, irregularities, and continuing needs.Contributes to team effort by accomplishing related results as needed.Have a working knowledge of all required plans and specificationsQualifications:Coding language such as Python, RKnowledge of AutoCADBachelors of Science in Math, Computer Science or Engineering degree in Civil, Mechanical, Electrical or related field. Masters or relating Advanced degree candidates preferred.Important Safety Tips1. Do not make any payment without confirming with the Jobberman Customer Support Team."
8,"Translate business needs to technical specificationsDesign, build and deploy BI solutions (e.g. reporting tools)Maintain and support data analytics platformsOversee the deployment of data to the data warehousePerform data profiling to identify and understand anomaliesEvaluate and improve existing BI systemsCollaborate with teams to integrate systemsDevelop and execute database queries and conduct analysesCreate visualizations and reports for requested projectsDevelop and update technical documentation"
9,"Location: LagosJOB SUMMARYAnalyze Sales DataDevelop Projections and ForecastsGuide Marketing EffortsExamine Company BudgetsPresent Reports to Company Leadership.JOB DESCRIPTIONThe successful candidate will turn sales data into information, information into insight and insight into business decisions for management.RESPONSIBILITIESAnalyze past sales data and market trends and use those analyses to produce sales forecasts and strategies.Develop and implement data analyses, data collection systems and other strategies that optimize statistical efficiency and qualitySupport business decision by tracking and providing reports on opportunity/threat analysis, promotional ROI and forecasting sales.Examines company's production, distribution, and marketing systems to address possible shortcomings.Work with internal partners to apply sales data to organizational development.Contribute to the streamlining of the sales process.Coordinate with marketing teams to create promotional activities and suggest other methods to boost sales.Monitor performance and quality control plans of sales force and distributors to identify improvementsWork with management to prioritize business and information needsLocate and define new process improvement opportunitiesTo provide advice to marketing departments, sales teams, and executives to develop sales targets, assess strategies to boost revenue, and develop promotional campaigns and budgets.REQUIREMENTSProven working experience as a data analyst or business data analystStrong knowledge of and experience with reporting packagesKnowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)Minimum 3-7 yrs. exp. of the sales coordination and FMCG market dynamicsB.Sc or equivalent in Mathematics, Economics, Computer Science, Information Management or StatisticsSKILLS:Must possess strong analytical skills to detect patterns and trends,Strong communications skills,Creative thinking and initiativeAdept at queriesReport writingTeam coordinationPresentation skillsPresenting findingsStrong presentation skillHighly organized and attention to detailInclination & drive to handle sales support activitiesCollaborative & creative approach to problem-solvingMETHOD OF APPLICATION:Interested candidates should send CVs to cv@ascentech.com.ng stating the position applied for as the subject of the mail. Only shortlisted candidates will be contacted."
