,Job_title,Company,Location,Urls,Summary
0,Information Technology Analyst,Bellforte Consulting,Lagos,https://ng.indeed.com/viewjob?jk=9d4d5784ebacbc02,Ensure that the company’s data and information are protected from unauthorized access.Our Client is a is a leading secure investments management firm in…
1,Data/Business Intelligence Analyst,Intelfort Nigeria Limited,Lagos,https://ng.indeed.com/viewjob?jk=f8dbb3f1dfd67308,"Good knowledge of operational Data Store / Data Warehouse.Experience using Cloud solution for Data analytics, preferably Data tools on Microsoft."
2,Business Intelligence Analyst,Dumela Corp,Lagos,https://ng.indeed.com/viewjob?jk=cd7a5afdd10306f4,Verifiable experience in reporting data.Advance use of Tableau or similar tools.
3,"Analyst, Data & Device Propositions (Supervisory)",None,Nigeria,https://ng.indeed.com/viewjob?jk=880f3af74dac958b,Track Revenue Growth For Data Products.Develop And Execute Strategy To Drive Smartphone And Data Penetration Within Existing Customer Base And Acquire New Data…
4,Marketing Analyst,Sheridan Properties Limited,Lagos,https://ng.indeed.com/viewjob?jk=8535f3ba909c6931,"Analyze valuable data by tracking volume, distribution performance and the competitive landscape to develop strategies that will help us meet any challenge."
5,GIS Analyst,TechnoServe,Nigeria,https://ng.indeed.com/viewjob?jk=cc06a360aa72d49f,"Supporting GIS spatial data cleaning, quality assurance, and analyses.Previous experience with mobile data collection for mapping purposes."
6,Portfolio Analyst,Renmoney,Lagos,https://ng.indeed.com/viewjob?jk=5b5ff2a19e5b0b9a,Advanced hands on SQL/My SQL skills to extract data from databases.Work with data science team to present emerging trends and recommend areas for investigation…
7,Project Estimator and Data Analyst,Roman Roads (Jabridep),Abuja,https://ng.indeed.com/viewjob?jk=828b2840b0db0604,"Candidate must be able to design, develop, and troubleshoot various software applications similar to a software developer or data analyst experience."
8,Business Intelligence Analyst,Renmoney,Lagos,https://ng.indeed.com/viewjob?jk=4b876568ed322c5c,Oversee the deployment of data to the data warehouse.Maintain and support data analytics platforms.Perform data profiling to identify and understand anomalies…
9,Sales Support Executive / Data Analyst,Ascentech,Lagos,https://ng.indeed.com/viewjob?jk=dd2a29136617e786,"Proven working experience as a data analyst or business data analyst.Develop and implement data analyses, data collection systems and other strategies that…"
10,Geographic Information Systems (GIS) Analyst,Xyples LLC,Lagos,https://ng.indeed.com/viewjob?jk=1a46e4319e248c5b,Feature data extraction from imagery.Experience with Geospatial data conflation.Geographic Information Systems (GIS) Analyst:OCONUS travel may be required.
11,Revenue Protection Analyst,None,Abia,https://ng.indeed.com/viewjob?jk=97d394daff488055,"Gathers, organizes and analyzes data as it pertains to case development using analytical, tracking, and data management tools.To travel to other locations;"
12,Programme Officer - Analyst Early Warning,None,Abia,https://ng.indeed.com/viewjob?jk=03bf78b235e318b1,"Abuja, Nigeria Profile The Programme Officer - Analyst - Portuguese, is functionally linked to the OPP - Main Situation Analyst, Early Warning Department (AP)…"
13,Business Analyst Job at Lorache Group,Lorache Group,Lagos,https://ng.indeed.com/viewjob?jk=87257df8a53615f8,"Proficient at integrating and preparing large, varied datasets (Data preparation, Data cleaning, Data mining).Working knowledge on handling data in R/Python."
14,Business Intelligence and Data Analyst,None,Abuja,https://ng.indeed.com/viewjob?jk=cb2733246567816b,"Providing technical expertise on data storage structures, data mining, and data cleansing.Work experience as a data analyst or in related field."
15,Data Analyst,Phillips Outsourcing,Lagos,https://ng.indeed.com/viewjob?jk=a4f40df0262a2258,"Modern Trade is heavily reliant on data, the data analytics is responsible to consolidating and communicating in a consumable format sharing all insights…"
16,Analyst � Data Governance (Supervisory),None,Nigeria,https://ng.indeed.com/viewjob?jk=b7ffa8a285d54212,"Architecture Modelling Data Modelling Emerging Enterprise Architectures Data Analytics GSM Technology.Data Stewardship, And Custodianship Roles."
17,Data Analyst,Xyples LLC,Lagos,https://ng.indeed.com/viewjob?jk=7ad27243bfbc9d33,"1-2 years of experience in a BI, data science or analyst role in media or tech.SAS Certified Data Scientist (Preferred).Strong NumPy/PANDAS skills a plus."
18,Analyst Job at EjiCareers,EjiCareers,Lagos,https://ng.indeed.com/viewjob?jk=5250061870c109ff,Analysing current and past financial data.2-5 years’ experience as an Analyst.Attention to detail and the ability to identify data patterns.
19,Research Analyst Job at Asset and Equity Group,Asset and Equity Group,Lagos,https://ng.indeed.com/viewjob?jk=86a9430739f68bc3,Compile and analyze data points.Document all data and research procedures.Analyse habits and data available from competitors.
20,Recruitment Analyst,Hugo,Lagos,https://ng.indeed.com/viewjob?jk=bd4bef3450a32cc5,Analyze recruitment data and use inferences to improve recruitment strategy.Hugo Technologies is a leading technology support outsourcing company leveraging…
21,Logistics Analyst 2 - Camp Arifjan Kuwait,CACI,Kwara,https://ng.indeed.com/viewjob?jk=044afaffaa3ef890,"Collects, processes, and maintains data for analysis.Provides leadership and guidance to lower level analysts as needed.What You’ll Get to Do:"
22,Finance Analyst,Lidya,Lagos,https://ng.indeed.com/viewjob?jk=8885993669925458,The Finance Analyst position is responsible analyzing financial data and developing profit-focused action plans.Has no complacency and is high energy.
23,Sales Analyst,Brainwave consultancy,Ikeja,https://ng.indeed.com/viewjob?jk=8831069bea97c4b9,Collects data from sales reports for analysis.Develops methods and strategies for assessing large amounts of data.
24,Agency Recruitment and HR Manager,DMTCAgency,Lagos,https://ng.indeed.com/viewjob?jk=828ea0c3aac9c6df,"Email marketers, digital analyst, etc.Online by pulling in public data on company, their employees, on their website.Plastic shield at work stations."
25,Data Support Analyst,None,Nigeria,https://ng.indeed.com/viewjob?jk=b8894cfdb3d082f3,"Basic/Intermediate understanding and use of data science tools such as Python, R, Tableau, etc Possess a clear understanding of data, analytics, metrics and…"
26,"Analyst, Customer Intelligence (Supervisory)",None,Nigeria,https://ng.indeed.com/viewjob?jk=dee4768d5e9aa12d,Mining Of Data From The Enterprise Data Warehouse For Analysis.Auditing Of Customer Relations Data To Ensure Data Integrity And Management.
27,Business Analyst,Intelfort Nigeria Limited,Lagos,https://ng.indeed.com/viewjob?jk=37a2e7b4e3ec7ecc,"A business analyst helps in guiding businesses in improving processes, products, services, and software through data analysis."
