,Job,Specialization,Company,Location,Date_posted
0,Business Development Executive,Sales / Business Development,TeamAce,Lagos,"23rd December, 2020"
1,Telesales Analyst ,Sales / Business Development,TeamAce,Lagos,"23rd December, 2020"
2,Personal Assistant (Female),Secretarial / PA,Willers Solutions Limited,Lagos,"23rd December, 2020"
3,Procurement Executive,Procurement/ Purchasing,a reputable company,Lagos,"23rd December, 2020"
4,Nursery 1 Teacher,Education / Teaching / Training,Standard Bearers School (SBS),Lagos,"23rd December, 2020"
5,Research Analyst,Research / Survey,Asset and Equity Group,Lagos,"23rd December, 2020"
6,Business Development Assistant (Corper),Sales / Business Development,Avant Halogen,Lagos,"23rd December, 2020"
7,Driver,Driving / Haulage,Asset and Equity Group,Lagos,"23rd December, 2020"
8,Solar Power Solution Manager,Engineering / Technical,Huawei Technologies Limited,Lagos,"23rd December, 2020"
10,Maintenance Engineer,Engineering / Technical,Veepee Group Limited,Ogun,"23rd December, 2020"
11,Sales Associate,Sales / Business Development,McPeniel Associate,Abuja,"23rd December, 2020"
12,Accountant,Accounting / Audit / Finance,Amagbuz Venture,Kwara,"23rd December, 2020"
13,Warehouse Manager,Supply Chain/ Store,Chemonics International,Abuja,"23rd December, 2020"
14,Sales Manager,Sales / Business Development,MainOne Cable,Lagos,"23rd December, 2020"
15,Nail Technician,"Creatives (Arts, Design, Fashion)",Prestigious Consulting,Lagos,"23rd December, 2020"
16,Dialysis / Nephrology Nurse,Medical/ Healthcare / Pharmaceutical,Marigold Hospital and Critical Care Center,Lagos,"23rd December, 2020"
17,Sales Manager,Sales / Business Development,Elkris Agro Development Nigeria Limited,Edo,"23rd December, 2020"
18,MPBN Engineer,Engineering / Technical,MacTay Consulting,Lagos,"23rd December, 2020"
19,Human Resources Manager,Human Resources / Recruitment,Nairametrics,Lagos,"23rd December, 2020"
20,Accounts Assistant - Payables,Accounting / Audit / Finance,Fenix,Lagos,"23rd December, 2020"
21,Packaging Unit Manager,Engineering / Technical,AB InBev,Osun,"23rd December, 2020"
22,Solar Energy Promoter,Engineering / Technical,D.light Energy Limited,Edo,"23rd December, 2020"
23,Driver,Driving / Haulage,Management Sciences for Health (MSH),Benue,"23rd December, 2020"
24,Human Resources Assistant,Human Resources / Recruitment,Premiere Urgence Internationale (PUI),Borno,"23rd December, 2020"
25,Nurse,Medical/ Healthcare / Pharmaceutical,Premiere Urgence Internationale (PUI),Borno,"23rd December, 2020"
26,Personal Assistant,Secretarial / PA,Nicole Sinclair,Lagos,"23rd December, 2020"
27,Software / App Developer,Software/ Programming / Web development,Stacksoft Limited,Lagos,"23rd December, 2020"
28,Customer Service Representative,Customer Service,Kolo Express,Oyo,"23rd December, 2020"
29,Blogger / Social Media Manager,Advertising/ Social Media/ Marketing/ PR,Creatrix Empire,Lagos,"23rd December, 2020"
30,Receptionist,Administration/ Office/ Operations,Kolo Express,Oyo,"23rd December, 2020"
31,Business & Channel Development Officer,Sales / Business Development,Beebeejump,Bayelsa,"23rd December, 2020"
32,Loan / Credit Officer,Accounting / Audit / Finance,Rich-Oak,Lagos,"23rd December, 2020"
33,Accountant,Accounting / Audit / Finance,Eden Solution and Resources Ltd.,Abuja,"23rd December, 2020"
34,Dispatch Rider,Logistics / Transportation/ Supply,Pearlskyline Logistics,Lagos,"23rd December, 2020"
36,Customer Service Officer,Customer Service,Madas Finance,Lagos,"22nd December, 2020"
37,Marketing / Loan Officer,Accounting / Audit / Finance,Okazi Finance Limited,Lagos,"22nd December, 2020"
38,Stock Accountant,Supply Chain/ Store,Kloverharris Limited,Ogun,"22nd December, 2020"
39,Social Media Specialist,Advertising/ Social Media/ Marketing/ PR,HRLeverage,Lagos,"22nd December, 2020"
41,Sales and Marketing Executive,Advertising/ Social Media/ Marketing/ PR,Adady Global Industries Limited,Lagos,"22nd December, 2020"
42,Mechanical Instructor,Education / Teaching / Training,AETI,Lagos,"22nd December, 2020"
43,Graphics Executive,"Creatives (Arts, Design, Fashion)",HRLeverage,Lagos,"22nd December, 2020"
44,Admin / HR Executive,Administration/ Office/ Operations,HRLeverage,Lagos,"22nd December, 2020"
45,Security Engineer,Engineering / Technical,eProcess Consulting Limited,Lagos,"22nd December, 2020"
46,Estate Assistant,Real Estate / Property / Surveying,Olutoyi Estate Development and Services Limited,Lagos,"22nd December, 2020"
47,Retail Store Manager,Supply Chain/ Store,Owens and Xley Consults,Lagos,"22nd December, 2020"
48,Automation Assistant,Engineering / Technical,Owens and Xley Consults,Lagos,"22nd December, 2020"
49,Marketing Officer,Advertising/ Social Media/ Marketing/ PR,Morris Royal Limited,Lagos,"22nd December, 2020"
50,Storekeeper,Supply Chain/ Store,Bukkha Hospitality Limited,Lagos,"22nd December, 2020"
51,Office Manager,Administration/ Office/ Operations,Kolo Express,Oyo,"22nd December, 2020"
52,Business Manager,Sales / Business Development,Olam Nigeria Limited,Abuja,"22nd December, 2020"
53,Head of Sales,Sales / Business Development,A4&T Power Solutions,Lagos,"22nd December, 2020"
54,Executive Assistant,Administration/ Office/ Operations,Nuach Consulting,Abuja,"22nd December, 2020"
55,Medical Sales Representative,Sales / Business Development,Global Oneword Healthcare Limited,Imo,"22nd December, 2020"
56,Senior HR Officer,Human Resources / Recruitment,Idmibok International (360 HSDC),Abuja,"22nd December, 2020"
57,Dispatch Rider,Logistics / Transportation/ Supply,Mileage Courier Services,Lagos,"22nd December, 2020"
59,Marketer,Advertising/ Social Media/ Marketing/ PR,Madas Finance,Lagos,"22nd December, 2020"
60,Female Accountant,Accounting / Audit / Finance,Tenaui Africa Limited,Lagos,"22nd December, 2020"
61,Sales Executive,Sales / Business Development,Mutual Benefits Assurance Plc,Lagos,"22nd December, 2020"
62,Property Officer,Real Estate / Property / Surveying,Alpha Mead Facilities,Lagos,"22nd December, 2020"
63,General / Operations Manager,Executive / Management,Owens and Xley Consults,Lagos,"22nd December, 2020"
64,Accountant,Accounting / Audit / Finance,a reputable company,Lagos,"22nd December, 2020"
65,Marketing Executive,Advertising/ Social Media/ Marketing/ PR,Mutual Benefits Assurance Plc,Osun,"22nd December, 2020"
66,Production Supervisor,Manufacturing / Production,Lorache Group,Ogun,"22nd December, 2020"
67,Compliance Manager,Risk Management / Compliance,Sifax Group,Lagos,"22nd December, 2020"
68,Business Development Manager,Sales / Business Development,Eden Solution and Resources Ltd.,Abuja,"22nd December, 2020"
69,Operation Officer,Project Management,Morris Royal Limited,Lagos,"22nd December, 2020"
70,Technical Assistance / Personal Assistant,Administration/ Office/ Operations,Tekniteed Nigeria Limited,Lagos,"22nd December, 2020"
